gene	log2FC	p	padj	n
ADAMTS6	0.0594848824985221	0.61245957126454	0.949806308078425	12
ADAMTS7	-0.163575519326048	0.0119995802660304	0.60721532425229	12
ADAMTS9	0.00980522778810067	0.965773104427173	0.994269228912912	12
ADAMTSL1	-0.0643647822419919	0.581707710579139	0.945979021955644	12
ADAMTSL3	-0.00881727829982653	0.957645477043857	0.992734081246749	12
ADAMTSL4	-0.0690972454185804	0.724804406527197	0.961871713037512	12
ADAMTSL5	-0.123646881112152	0.209770622975404	0.905994515401443	12
ADAP1	0.0540553980427266	0.650702111648796	0.951690499723663	12
ADAR	0.0831549735757519	0.580325521483191	0.945979021955644	12
ADARB1	-0.17564981808267	0.119827480653041	0.875578583099219	12
ADAT1	0.0125743816705366	0.881385760322691	0.984442629005518	12
ADAT2	0.161149587086771	0.0675166708765628	0.818771436319789	12
ADAT3	-0.671238332294584	0.00367457897309552	0.575047572908439	12
ADCK1	0.00718321560585841	0.960170191848251	0.993292041887274	12
ADCK2	-0.0597024174499535	0.438489741938218	0.931174362355899	12
ADCK5	-0.0300739059762132	0.847461304864353	0.978029906046438	12
ADCY1	-0.575574279877448	0.155242536410698	0.885032331995209	12
ADCY3	-0.107076730071853	0.251860946496752	0.910670658826846	12
ADCY6	-0.062265108648412	0.455621683299822	0.932617280011103	12
ADCY7	-0.0642307323464201	0.611066563272245	0.949806308078425	12
ADCY9	-0.0533947408550012	0.653250027654133	0.951690499723663	12
ADCYAP1	0.356652848143222	0.223831824136227	0.905994515401443	12
ADD1	-0.0450555478889847	0.208843477717887	0.905994515401443	12
ADD2	0.0408037282648025	0.680108930755331	0.952993794555848	12
ADD3	0.0863195728609342	0.497143564666135	0.935530011874946	12
ADGRA2	-0.181845114583929	0.14183131292877	0.883296665796862	12
ADGRA3	0.00110125748449551	0.991653777724363	0.999025497132402	12
ADGRB2	-0.140603646293772	0.047217307534781	0.772108459580203	12
ADGRB3	0.00660743235169127	0.973511295168207	0.995522307866034	12
ADGRE1	0.0596214946502925	0.857504386144644	0.980787524614687	12
ADGRE2	-0.972703497596689	0.0960792331291359	0.851022633527095	12
ADGRE5	-0.0642647752514191	0.256771024547468	0.911204676150863	12
ADGRF4	-0.212751597134442	0.359685178532327	0.920065355159794	12
ADGRF5	-0.171087314123908	0.470672547501118	0.933184723622753	12
ADGRG1	-0.133716334463563	0.323462178314898	0.918347625199354	12
ADGRG6	0.076960321673938	0.623211917102608	0.949954181497309	12
ADGRL1	-0.221638859986853	0.0582373832352447	0.806522906947932	12
ADGRL2	0.0605873497230102	0.657465861405172	0.951690499723663	12
ADH5	0.0173520438762646	0.77780084398094	0.969913645456484	12
ADHFE1	0.352636757105022	0.26257152985829	0.912411198058034	12
ADI1	0.0157033458529762	0.838942889950418	0.976298903306773	12
ADIPOR1	0.0254405170530928	0.478828389145496	0.933184723622753	12
ADIPOR2	0.0032594193412008	0.937725281077644	0.990225169572297	12
ADK	0.0502206705562512	0.523218527654617	0.939287764547997	12
ADM	0.122930084911416	0.527320405693656	0.940171643848344	12
ADM2	-0.0703852160901367	0.734899728971013	0.964170297765593	12
ADM5	0.133997183705212	0.693252853570309	0.958038629565486	12
ADNP	0.0364198749337246	0.697263238872976	0.958758281772818	12
ADNP2	-0.019956997952205	0.849925890965076	0.978627670965866	12
ADO	0.0872425087684578	0.0549144551246639	0.79662668297976	12
ADORA1	-0.137660707616503	0.187320814387558	0.903197575322248	12
ADORA2A	0.147141379575258	0.640828488043199	0.950533924866102	12
ADORA2B	-0.182513720759806	0.0804837302428867	0.83796841985825	12
ADPGK	-0.0322733095747111	0.527958149018294	0.940171643848344	12
ADPRH	0.140960018172139	0.213962217566221	0.905994515401443	12
ADPRHL1	0.275664092341634	0.0361459277494016	0.719122407324854	12
ADPRHL2	-0.17710668064839	0.0261179927411676	0.684549738581776	12
